College Code,College Name,Seat Category,AD - Artificial Intelligence & Data Science,AE - Aeronautical Engineering,AG - Agricultural Engineering,AI - Artificial Intelligence & Machine Learning,AL - Agriculture Engineering Course,AR - Automation & Robotics Engineering,AS - Aerospace Engineering,AU - Automobile Engineering,AVE - Automotive Engineering,BD - Bachelor of Design,BDC - Bachelor of Design (Communic- ation & Design),BFD - Bachelor of Design (Fashion Design),BID - Bachelor of Design (Industrial Design),BLD - Bachelor of Design (Lifestyle & Accessory Design),BM - Bio- Medical Engineering,BP - Bachelor of Urban & Regional Planning,BT - Bio- technology,CA - Computer Science & Engineering (Artificial Intelligence),CAD - Computer Science & Engineering (Artificial Intelligence & Data Science),CB - Computer Science & Business Systems,CBD - Computer Science & Technology (Big Data),CC - Ceramic And Cement Technology,CCA - Civil Engineering with Computer Application,CCS - Civil Construction & Sustainability Engineering,CD - Computer Science & Engineering (Data Science),CE - Computer Engineering,CG - Computer Science & Design,CH - Chemical Engineering,CI - Computer Science & Engineering (Artificial Intelligence & Machine Learning),CIT - Computer Science & Information Technology,CK - Civil Engineering (Kannada),CM - Computer & Communica- tion Engineering,CN - Computer Science & Technology,CO - Computer Science & Engineering (IOT),CR - Computer Science,CS - Computer Science & Engineering,CSB - Computer Science & Engineering (Block Chain),CSD - Computer Science & Technology (Devops),CV - Civil Engineering,CX - Cyber Security,CY - Computer Science & Engineering (Cyber Security),DS - Data Science,EC - Electronics & Communicati on Engineering,ECE - Electrical & Computer Engineering,ECV - Electronics and Communica- tion Engineering ( VLSI Design & Technology),EE - Electrical & Electronics Engineering,EI - Electronics & Instrumentati on Engineering,ES - Electronics & Computer Science,ET - Electronics & Telecommu- nication Engineering,IAR - Information Technology (Augmented Reality and Virtual Reality (AR / VR),IC - Computer Science & Engineering (IOT & Cyber Security Including Block Chain Technology),IDA - Information Technology (Data Analytics),IM - Industrial Engineering & Management,INT - Information Technology,IP - Industrial & Production Engineering,IS - Information Science & Engineering,IST - Information Science & Technology,MAE - Mechanical & Aerospace Engineering,MD - Medical Electronics Engineering,ME - Mechanical Engineering,MR - Marine Engineering,MT - Mechatronics Engineering,RA - Robotics & Automation,RI - Robotics & Artificial Intelligence,ROB - Robotics,TX - Textile Technology,UE - Electronics & Computer Engineering,VL - Electronics Engineering (VLSI Design & Technology),VLS - VLSI
E075,"KNS Institute of Technology-Yelahanka, Bengaluru",GM,,,,103454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E076,"M.S. Engineering College-Sadahalli, Bengaluru",GM,,,,,,,,,,,,,,,,,,,,,,,,,45773,,,,,,,,,,,101479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",GM,2483,,,2402,,,9212,,,,,,,,,,26988,,,,,,,,,,,28430,1649,,,,,,,1341,,,30423,,2071,,3162,,,5756,6106,,4772,,,,27429,,,2311,,,33938,12622,,,,,,,,,
E078,"Maharaja Institute of Technology-Belawadi, Mandya",GM,,,,,,,,,,,,,,,,,,100751,,106222,,,,,111099,108542,,,96870,,,,,,,101975,,,,,,,110498,,,,,,,,109740,,,,,111029,,,,,,,,,,,,,
E079,"Malnad College of Engineering-Rangoli Halla, Hassan",GM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92605,,,,,,,110247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E080,"Mangalore Institute of Technology and Engineering-Moodbidri, Mangaluru",GM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E081,"Moodalakatte Institute of Technology-Moodalakatte, Udupi",GM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E082,"Maharaja Institute of Technology-Thandavapura, Mysuru",GM,75566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E083,"Mysuru Royal Institute of Technology-Palahallli, Mandya District",GM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E084,"Nagarjuna College of Engineering And Technology-Devanahalli, Bengaluru",GM,,,,,,,,,,,,,,,,,,,,,,,,,59079,,,,,,,,,,,94779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E085,"The National Institute of Engineering North Campus-Koorgalli, Mysuru",GM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15809,,,,,,,15390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E088,"Navodaya Institute of Technology-Bijangera, Raichur",GM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E089,"P.E.S.College of Engineering-PES College Road, Mandya",GM,,,,,,,,,,,,,,,,,,,,25053,,,,,29874,,,,23957,,,,,,,35673,,,76684,,,,41342,,43511,37003,,,,,,,,,,42248,,,,,,,,39412,,,,,
E090,"PES Institute of Technology and Management-Kotegangoor Cost, Shivamogga",GM,,,,111068,,,,,,,,,,,,,,,,,,,,,106482,110737,,,,,,,,,,82096,,,,,,,108985,,,69375,,,,,,,,,,107203,,,,88296,,,,,,,,,
E094,"Proudhadevaraya Institute of Technology-TB Dam Road, Hosapete",GM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E095,"R V College of Engineering-Mysore Road, Bengaluru",GM,,,,,,,3464,,,,,,,,,,14685,,,,,,,,649,,,11506,713,,,,,,,542,,,17969,,774,,1077,,,1866,,,1343,,,,12328,,,,,,,5339,,,,,,,,,
E096,"R.L. Jalappa Institute of Technology-Kodigehalli, Doddaballapur",GM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E097,"R.R. Institute of Technology-Chikkabanavara, Bengaluru",GM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E098,"R T E Societys Rural Engineering College-Hulkoti, Gadag",GM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E099,"Raja Rajeswari College of Engineering-Kumbalgodu, Bengaluru",GM,,,,103540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105648,,,,,,,56779,,,,,,,,,,,,,92310,,,,,,,,,,,,,
E100,"Rajeev Institute of Technology-BM Bypass Road, Hassan",GM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E101,"Rajiv Gandhi Institute of Technology-R T Nagar Post, Bengaluru",GM,,,,72485,,,,,,,,,,,96470,,,,,,,,,,,,,,,,,,,,,103272,,,,,,,67192,,,,,,,,,,,,,,,,,,,,,,,,,,
E102,"Rao Bahadur Y Mahabaleswarappa Engineering College-Cantonment, Ballari",GM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E104,"RNS Institute of Technology-R R Nagar Post, Bengaluru",GM,,,,,,,,,,,,,,,,,,,,,,,,,34045,,,,33681,,,,,,,30222,,,92294,,35124,,40410,,,45507,,,,,,,,,,,,,,57487,,,,,,,,,
E105,"Bheemanna Khandre Institute of Technology-Bhalki, Bidar",GM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E107,"SJB Institute of Technology-Kengeri, Bengaluru",GM,,,,55981,,,,,,,,,,,,,,,,,,,,,62287,,,,,,,,,,,53748,,,,,,,109664,,,,,,,,,,,,,71438,,,,,,,,,,,,,
E108,"S J C Institute of Technology-BB Road, Chikkaballapur",GM,,,,,,,110023,,,,,,,,,,,,,,,,,,,,,,62272,,,,,,,51440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E109,"S.E.A. College of Engineering and Technology-K R Puram, Bengaluru",GM,,,,38473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E110,"SSETs S.G. Balekundri Institute of Technology-Shivabasva Nagar, Belagavi",GM,101776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E111,"S.J.P.N Trust s Hirasugar Institute of Technology-Nidasoshi, Belagavi",GM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E112,"Sahyadri College of Engineering and Management-Adyar, Mangaluru",GM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103600,,,,,,,104962,,,,,,,,,,,,,,,,,,,,102448,,,,,,,55193,,,,,,
